sentence,year,,,,,
"400. اللي يقول ""السواقة حرية""، يعلّمنا أول كيف نوفر أمان",2015,,,,,
"378. لا تقول تمكين… التمكين يبدأ من العقل، مو العجلات.",2015,,,,,
380. تبغى تسوق؟ طيب حلي أزمة البطالة أول.,2015,,,,,
392. لسه ما شفنا شوارعنا آمنة للرجال… تبغون البنات يسوقن؟,2015,,,,,
396. البنات يسوقن؟ طيب من يحميهم من التحرش؟,2015,,,,,
"398. مجتمعنا مليان طيبين، بس فيه ذئاب… لا تخلون البنات فريسة.",2015,,,,,
" إذا المرأة تسوق، فوش دور الزوج؟ يطبخ؟",2015,,,,,
"394. اللي تقول ""الوضع جاهز""، تطلع الساعة 12 وتشوف بنفسها؟",2015,,,,,
376. فيه أمهات جالسين في الشمس ينتظرون علاج… والسواقة هي الهم؟,2015,,,,,
"342. يوم كنا نوصل خواتنا، كنا نحس بالفخر… الحين بيصيرون يوصلونا؟",2015,,,,,
"344. السواقة تسحب دور الأخ، الأب، وحتى الزوج.",2015,,,,,
 لا طاعة لمخلوق في معصية الخالق. #لن_تقودي,2015,,,,,
 التمكين مو انحراف… واللي نشوفه اليوم انحراف باسم التمكين.,2015,,,,,
 سواقة المرأة؟ هذا للناس اللي يبغون يقلدون الغرب بالظاهر.,2015,,,,,
"234. تبغين تسوقين؟ حلو، بس وش بتغيرين بعدين؟",2015,,,,,
"""القيادة فتنة، ولازم نمنعها.""",2015,,,,,
 أغلب اللي يطالبون بالسواقة ما يمثلون بنات البلد المحافظات.,2015,,,,,
" طفشنا من تكرار ""لن تقودي""، عطونا شيء جديد.",2015,,,,,
" القرار مو في تويتر، القرار في الديوان الملكي.",2015,,,,,
 حرمة تطلب تسوق؟ وين أهلها؟ وين ناسها؟,2015,,,,,
"204. كله من دعاة التغريب، يبغون البنات يضيعون باسم الحرية.",2015,,,,,
" إذا شي ماشي زين، ليه نطالب نعدله؟",2015,,,,,
" اللي كل يوم تطالب بشي جديد، هي بنفسها ما تعرف وش تبغى.",2015,,,,,
" مو ضد ولا مع، بس النقاش لازم يصير ناضج.",2015,,,,,
 تبغى تسوق؟ طيب علّميها أول توقف عند إشارة!,2015,,,,,
" الرجال اللي يرضى لأخته تسوق، ما يعرف معنى ""غيرة"".",2015,,,,,
"""تطالبين بقيادة؟ تعلمي تطبخين أول.""",2015,,,,,
" اللي تسوق، تسقط من عيون المجتمع الراقي.",2015,,,,,
 المطالبة بالسواقة صارت موضة بين البنات التافهات.,2015,,,,,
 صوت الناعم لما يصير حاد… يصير فيه شي غلط.,2015,,,,,
" لن تقودي، إلا إذا السيارة فيها كوافير ونعال طايرة.",2015,,,,,
 اللي يطالبون بالسواقة يبغون يقللون من دور الرجل.,2015,,,,,
 الحقوق تجي بالتدريج… والسواقة مو أولوية.,2015,,,,,
" البنت الراقية ما تحتاج تسوق، عندها من يخدمها.",2015,,,,,
238. ما أحد قال لك ما تسوقين… بس لا تزعجين خلق الله بالمطالب.,2015,,,,,
 السواقة مو استقلال… السواقة تضييع لهوية العائلة.,2015,,,,,
 السواقة تحتاج تركيز وهدوء… مو صياح وبكاء.,2015,,,,,
" ساقت دقيقة، ونزلت تبكي تقول ""ما أقدر"".",2015,,,,,
 كفوا عن تغيير الدين باسم التقدّم.,2015,,,,,
" مو كرامة للبنت إنها تسوق، كرامتها إنها محفوظة.",2015,,,,,
" السواقة للناس اللي ما عندهم أحد يوصلهم، حنا مو مثلهم.",2015,,,,,
"""فيلم 'لن تقودي' قريبا في كل بيت.""",2015,,,,,
"""لن تقودي مهما صرختي، الشارع للرجال فقط!""",2015,,,,,
240. التمكين مو بالسيارة… التمكين بالنضج.,2015,,,,,
 قيادة المرأة؟ بالله جهزوا إشارات وردية!,2015,,,,,
 الأمور ماشية تمام… ليه ندخل السواقة ونخربها؟,2015,,,,,
 والله ما يسوقون بناتنا دام فينا عرق حي.,2015,,,,,
" يوم كنا نوصل خواتنا، كنا نحس بالفخر… الحين بيصيرون يوصلونا؟",2015,,,,,
232. كل اللي تطالب بالسواقة تتابع مشاهير سناب مو سياسة!,2015,,,,,
 السواقة ما هي حق… هي رفاهية ما نحتاجها.,2015,,,,,
210. اللي ورا هالهاشتاقات حسابات خارجية تبي تخلينا نشك في ديننا.,2015,,,,,
" حتى لو القرار نزل، حنا نرفضه بينا وبين أنفسنا.",2015,,,,,
" إحنا مجتمع مسلم، مو حقل تجارب.",2015,,,,,
" بعض البنات ما تحملت مسؤولية جوال، تبغى سيارة!",2015,,,,,
"181.اللي تطالب بالسواقة، شكلها ما عمرها ركبت ليموزين!",2015,,,,,
 دور الرجل في البيت بدأ يضيع مع هالقرارات.,2015,,,,,
" البنت تنفع في البيت، مو في الزحمة والمطبات.",2015,,,,,
 البنت ما تمثل نفسها… تمثل اسم أهلها!,2015,,,,,
 السيارة ما تحميها… وجود رجال أهلها هو الحماية.,2015,,,,,
"236. في بنات يتكلمون كأنهم بيفتحون بلاد، وهي بس تبي تسوق!",2015,,,,,
